Population_density,Agricultural_Land,Land_Area,Armed_Forces_size,Birth_Rate,Co2_Emissions,CPI,CPI_Change,Fertility_Rate,Forested_Area,Gasoline_Price,GDP,GPEM,GTEE,Infant_mortality,Life_expectancy,Maternal_mortality_ratio,Minimum_wage,Out_of_pocket_health_expenditure,Physicians_per_thousand,Population,LFPR,Tax_revenue ,tax_rate,Unemployment_rate,Urban_population
123.00,0.58,"86,600.00","82,000.00",14.00,"37,620.00",156.32,0.03,1.73,0.14,0.56,"39,207,000,000.00",1.00,0.28,19.20,72.90,26.00,0.47,0.79,3.45,"10,023,318.00",0.67,0.13,0.41,0.06,"5,616,165.00"
39.00,0.01,"13,880.00","1,000.00",13.97,"1,786.00",116.22,0.03,1.75,0.51,0.92,"12,827,000,000.00",0.81,0.15,8.30,73.80,70.00,5.25,0.28,1.94,"389,482.00",0.75,0.15,0.34,0.10,"323,784.00"
"2,239.00",0.11,765.00,"19,000.00",13.99,"31,694.00",117.59,0.02,1.99,0.01,0.43,"38,574,069,149.00",0.99,0.51,6.10,77.20,14.00,,0.25,0.93,"1,501,635.00",0.73,0.04,0.14,0.01,"1,467,109.00"
"1,265.00",0.71,"148,460.00","221,000.00",18.18,"84,246.00",179.68,0.06,2.04,0.11,1.12,"302,571,254,131.00",1.17,0.21,25.10,72.30,173.00,0.51,0.72,0.58,"167,310,838.00",0.59,0.09,0.33,0.04,"60,987,417.00"
668.00,0.23,430.00,"1,000.00",10.65,"1,276.00",134.09,0.04,1.62,0.15,1.81,"5,209,000,000.00",0.99,0.65,11.30,79.10,27.00,3.13,0.45,2.48,"287,025.00",0.65,0.28,0.36,0.10,"89,431.00"
47.00,0.42,"207,600.00","155,000.00",9.90,"58,280.00",,0.06,1.45,0.43,0.60,"63,080,457,023.00",1.01,0.87,2.60,74.20,2.00,1.49,0.35,5.19,"9,466,856.00",0.64,0.15,0.53,0.05,"7,482,982.00"
383.00,0.45,"30,528.00","32,000.00",10.30,"96,889.00",117.11,0.01,1.62,0.23,1.43,"529,606,710,418.00",1.04,0.80,2.90,81.60,5.00,10.31,0.18,3.07,"11,484,055.00",0.54,0.24,0.55,0.06,"11,259,082.00"
17.00,0.07,"22,966.00","2,000.00",20.79,568.00,105.68,-0.01,2.31,0.60,1.13,"1,879,613,600.00",1.12,0.25,11.20,74.50,36.00,1.65,0.23,1.12,"390,353.00",0.65,0.26,0.31,0.06,"179,039.00"
108.00,0.33,"112,622.00","12,000.00",36.22,"6,476.00",110.71,-0.01,4.84,0.38,0.72,"14,390,709,095.00",1.22,0.12,60.50,61.50,397.00,0.39,0.41,0.08,"11,801,151.00",0.71,0.11,0.49,0.02,"5,648,149.00"
20.00,0.14,"38,394.00","6,000.00",17.26,"1,261.00",167.18,0.03,1.98,0.73,0.98,"2,446,674,101.00",1.00,0.16,24.80,71.50,183.00,0.32,0.20,0.42,"727,145.00",0.67,0.16,0.35,0.02,"317,538.00"
11.00,0.35,"1,098,581.00","71,000.00",21.75,"21,606.00",148.32,0.02,2.73,0.50,0.71,"40,895,322,865.00",0.98,,21.80,71.20,155.00,1.36,0.26,1.59,"11,513,100.00",0.72,0.17,0.84,0.04,"8,033,035.00"
64.00,0.43,"51,197.00","11,000.00",8.11,"21,848.00",104.90,0.01,1.27,0.43,1.05,"20,047,848,435.00",,0.23,5.00,77.30,10.00,1.04,0.29,2.16,"3,301,000.00",0.46,0.20,0.24,0.18,"1,605,144.00"
4.00,0.46,"581,730.00","9,000.00",24.82,"6,340.00",149.75,0.03,2.87,0.19,0.71,"18,340,510,789.00",1.03,0.25,30.00,69.30,144.00,0.29,0.05,0.37,"2,346,179.00",0.71,0.20,0.25,0.18,"1,616,550.00"
25.00,0.34,"8,515,770.00","730,000.00",13.92,"462,299.00",167.40,0.04,1.73,0.59,1.02,"1,839,758,040,766.00",1.15,0.51,12.80,75.70,60.00,1.53,0.28,2.15,"212,559,417.00",0.64,0.14,0.65,0.12,"183,241,641.00"
83.00,0.03,"5,765.00","8,000.00",14.90,"7,664.00",99.03,0.00,1.85,0.72,0.37,"13,469,422,941.00",1.03,0.31,9.80,75.70,31.00,,0.06,1.61,"433,285.00",0.65,,0.08,0.09,"337,711.00"
64.00,0.46,"110,879.00","31,000.00",8.90,"41,708.00",114.42,0.03,1.56,0.35,1.11,"86,000,000,000.00",0.89,0.71,5.90,74.90,10.00,1.57,0.48,4.03,"6,975,761.00",0.55,0.20,0.28,0.04,"5,256,027.00"
76.00,0.44,"274,200.00","11,000.00",37.93,"3,418.00",106.58,-0.03,5.19,0.19,0.98,"15,745,810,235.00",0.96,0.07,49.00,61.20,320.00,0.34,0.36,0.08,"20,321,378.00",0.66,0.15,0.41,0.06,"6,092,349.00"
463.00,0.79,"27,830.00","31,000.00",39.01,495.00,182.11,-0.01,5.41,0.11,1.21,"3,012,334,882.00",1.21,0.06,41.00,61.20,548.00,,0.19,0.10,"11,530,580.00",0.79,0.14,0.41,0.01,"1,541,177.00"
83.00,0.65,"322,463.00","27,000.00",35.74,"9,674.00",111.61,-0.01,4.65,0.33,0.93,"58,792,205,642.00",1.00,0.09,59.40,57.40,617.00,0.36,0.36,0.23,"25,716,544.00",0.57,0.12,0.50,0.03,"13,176,900.00"
138.00,0.20,"4,033.00","1,000.00",19.49,543.00,110.50,0.01,2.27,0.23,1.02,"1,981,845,741.00",1.04,0.24,16.70,72.80,58.00,0.68,0.23,0.77,"483,628.00",0.61,0.20,0.38,0.12,"364,029.00"
95.00,0.31,"181,035.00","191,000.00",22.46,"9,919.00",127.63,0.03,2.50,0.53,0.90,"27,089,389,787.00",1.07,0.14,24.00,69.60,160.00,,0.59,0.17,"16,486,542.00",0.82,0.17,0.23,0.01,"3,924,621.00"
56.00,0.21,"475,440.00","24,000.00",35.39,"8,291.00",118.65,0.03,4.57,0.39,1.03,"38,760,467,033.00",1.03,0.13,50.60,58.90,529.00,0.35,0.70,0.09,"25,876,380.00",0.76,0.13,0.58,0.03,"14,741,256.00"
4.00,0.07,"9,984,670.00","72,000.00",10.10,"544,894.00",116.76,0.02,1.50,0.38,0.81,"1,736,425,629,520.00",1.01,0.69,4.30,81.90,10.00,9.51,0.15,2.61,"36,991,981.00",0.65,0.13,0.25,0.06,"30,628,482.00"
8.00,0.08,"622,984.00","8,000.00",35.35,297.00,186.86,0.37,4.72,0.36,1.41,"2,220,307,369.00",1.02,0.03,84.50,52.80,829.00,0.37,0.40,0.06,"4,745,185.00",0.72,0.09,0.73,0.04,"1,982,064.00"
13.00,0.40,"1,284,000.00","35,000.00",42.17,"1,016.00",117.70,-0.01,5.75,0.04,0.78,"11,314,951,343.00",0.87,0.03,71.40,54.00,"1,140.00",0.60,0.56,0.04,"15,946,876.00",0.71,,0.64,0.02,"3,712,273.00"
26.00,0.21,"756,096.00","122,000.00",12.43,"85,822.00",131.91,0.03,1.65,0.24,1.03,"282,318,159,745.00",1.01,0.89,6.20,80.00,13.00,2.00,0.32,2.59,"18,952,038.00",0.63,0.18,0.34,0.07,"16,610,135.00"
153.00,0.56,"9,596,960.00","2,695,000.00",10.90,"9,893,038.00",125.08,0.03,1.69,0.22,0.96,"19,910,000,000,000.00",1.00,0.51,7.40,77.00,29.00,0.87,0.32,1.98,"1,397,715,000.00",0.68,0.09,0.59,0.04,"842,933,962.00"
46.00,0.40,"1,138,910.00","481,000.00",14.88,"97,814.00",140.95,0.04,1.81,0.53,0.68,"323,802,808,108.00",1.15,0.55,12.20,77.10,83.00,1.23,0.18,2.18,"50,339,443.00",0.69,0.14,0.71,0.10,"40,827,302.00"
467.00,0.72,"2,235.00",,31.88,202.00,103.62,-0.04,4.21,0.20,,"1,185,728,677.00",1.00,0.09,51.30,64.10,273.00,0.71,0.75,0.27,"850,886.00",0.43,,2.20,0.04,"248,152.00"
16.00,0.31,"342,000.00","12,000.00",32.86,"3,282.00",124.74,0.02,4.43,0.65,0.97,"10,820,591,131.00",1.07,0.13,36.20,64.30,378.00,0.88,0.44,0.12,"5,380,508.00",0.69,0.09,0.54,0.09,"3,625,010.00"
100.00,0.35,"51,100.00","10,000.00",13.97,"8,023.00",128.85,0.02,1.75,0.55,0.98,"61,773,944,174.00",1.13,0.55,7.60,80.10,27.00,1.84,0.22,2.89,"5,047,561.00",0.62,0.14,0.58,0.12,"4,041,885.00"
73.00,0.28,"56,594.00","18,000.00",9.00,"17,488.00",109.82,0.01,1.47,0.34,1.26,"60,415,553,039.00",0.97,0.68,4.00,78.10,8.00,2.92,0.15,3.00,"4,067,500.00",0.51,0.22,0.21,0.07,"2,328,318.00"
106.00,0.60,"110,860.00","76,000.00",10.17,"28,284.00",,,1.62,0.31,1.40,"100,023,000,000.00",1.02,0.41,3.70,78.70,36.00,0.05,,8.42,"11,333,483.00",0.54,,,0.02,"8,739,135.00"
131.00,0.12,"9,251.00","16,000.00",10.46,"6,626.00",102.51,0.00,1.33,0.19,1.23,"24,564,647,935.00",0.99,0.76,1.90,80.80,6.00,,0.44,1.95,"1,198,575.00",0.63,0.25,0.22,0.07,"800,708.00"
139.00,0.45,"78,867.00","23,000.00",10.70,"102,218.00",116.48,0.03,1.69,0.35,1.17,"246,489,245,495.00",1.01,0.64,2.70,79.00,3.00,3.00,0.15,4.12,"10,669,709.00",0.61,0.15,0.46,0.02,"7,887,156.00"
40.00,0.12,"2,344,858.00","134,000.00",41.18,"2,021.00",133.85,0.03,5.92,0.67,1.49,"47,319,624,204.00",1.08,0.07,68.20,60.40,473.00,0.18,0.37,0.07,"86,790,567.00",0.64,0.11,0.51,0.04,"39,095,679.00"
137.00,0.62,"43,094.00","15,000.00",10.60,"31,786.00",110.35,0.01,1.73,0.15,1.55,"348,078,018,464.00",1.01,0.81,3.60,81.00,4.00,,0.14,4.01,"5,818,553.00",0.62,0.32,0.24,0.05,"5,119,978.00"
43.00,0.73,"23,200.00","13,000.00",21.47,620.00,120.25,0.03,2.73,0.00,1.32,"3,318,716,359.00",0.75,0.05,49.80,66.60,248.00,,0.20,0.22,"973,560.00",0.60,,0.38,0.10,"758,549.00"
96.00,0.33,751.00,,12.00,180.00,103.87,0.01,1.90,0.57,,"596,033,333.00",1.15,0.07,32.90,76.60,,1.48,0.28,1.08,"71,808.00",,0.22,0.33,,"50,830.00"
